Date,State,Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths
20200413,AK,277,"7,553",,,32,,,,,85,8
20200413,AL,"3,734","25,448",,,457,,189,,119,,99
20200413,AR,"1,410","19,394",,74,130,,43,28,39,391,30
20200413,AS,0,3,,,,,,,,,
20200413,AZ,"3,702","39,645",,525,,286,,195,,,122
20200413,CA,"22,348","168,534","13,200","3,015",,"1,178",,,,,687
20200413,CO,"7,684","29,850",,,"1,472",,,,,,304
20200413,CT,"13,381","30,928",,"1,760",,,,,,,602
20200413,DC,"1,955","8,979",,295,,95,,31,,507,53
20200413,DE,"1,625","10,195",,201,,,,,,213,35
20200413,FL,"20,601","175,606","1,789",,"2,833",,,,,,483
20200413,GA,"13,315","43,706",,,"2,589",,,,,,464
20200413,GU,135,770,,12,,2,,2,,58,5
20200413,HI,499,"18,345",,,44,,6,,2,310,9
20200413,IA,"1,710","16,986",,142,,70,,41,,741,43
20200413,ID,"1,426","13,455",,,132,,38,,,,27
20200413,IL,"22,025","83,743",,"3,680",,"1,166",,821,,,794
20200413,IN,"8,236","36,303",,,,740,,459,,,350
20200413,KS,"1,376","12,488",,,309,,,,,,62
20200413,KY,"1,963","23,903",,289,667,136,256,,,607,97
20200413,LA,"21,016","87,075",,"2,134",,,,461,,,884
20200413,MA,"26,867","95,182",,,"2,340",,,,,,844
20200413,MD,"8,936","42,815",,,"1,975",,,,,603,262
20200413,ME,698,"11,608",,22,124,,,,,273,19
20200413,MI,"25,635","57,009",,"3,986",,"1,570",,1365,,447,1602
20200413,MN,"1,650","36,777",,157,361,74,146,,,842,70
20200413,MO,"4,388","41,040",,988,,,,,,,114
20200413,MP,11,27,9,,,,,,,,2
20200413,MS,"2,942","28,042",,,549,124,,84,,,98
20200413,MT,394,"8,704",,21,47,,,,,171,7
20200413,NC,"4,816","58,572",,313,,,,,,,86
20200413,ND,331,"10,450",,13,40,,,,,127,8
20200413,NE,814,"10,158",,,,,,,,,17
20200413,NH,985,"10,222",125,,152,,,,,239,23
20200413,NJ,"64,584","64,885",,"7,781",,"1,886",,1611,,,2443
